Soil_Color,Crop,Pest,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Fertilizer,Pesticide
3,0,0,62,95,50,Organic,Insecticides
0,2,1,67,60,73,Urea,Herbicides
0,3,1,27,54,19,NPK,Herbicides
3,0,1,82,54,63,Urea,Herbicides
4,1,1,75,45,62,Compost,Herbicides
0,0,1,61,97,47,Compost,Herbicides
0,3,1,93,54,11,Organic,Herbicides
3,0,0,94,15,9,Organic,Insecticides
4,2,0,77,34,45,Organic,Insecticides
1,2,2,52,28,29,Urea,Fungicides
3,4,2,57,24,68,Compost,Fungicides
0,2,1,4,56,56,NPK,Herbicides
2,4,0,38,89,99,NPK,Insecticides
2,1,1,73,94,90,Compost,Herbicides
0,2,2,58,5,65,Compost,Fungicides
3,1,1,22,32,58,Compost,Herbicides
3,3,2,59,16,95,Organic,Fungicides
1,3,2,52,13,85,NPK,Fungicides
3,4,1,10,54,19,Compost,Herbicides
1,1,1,96,42,10,Compost,Herbicides
1,0,2,83,72,87,NPK,Fungicides
3,4,0,66,33,85,Organic,Insecticides
3,4,0,4,95,41,Compost,Insecticides
3,1,0,13,84,75,NPK,Insecticides
4,2,2,77,47,50,Organic,Fungicides
2,1,1,13,30,22,Organic,Herbicides
4,3,0,65,24,8,Compost,Insecticides
4,2,1,26,84,63,Compost,Herbicides
2,2,1,54,33,79,NPK,Herbicides
0,0,0,26,19,44,NPK,Insecticides
1,0,0,84,13,48,Organic,Insecticides
4,2,2,45,30,66,Organic,Fungicides
2,1,0,76,86,71,Organic,Insecticides
2,2,2,69,83,64,Organic,Fungicides
4,2,1,52,39,61,NPK,Herbicides
2,2,2,22,78,20,Compost,Fungicides
4,3,2,93,64,3,Organic,Fungicides
0,1,0,5,80,41,Organic,Insecticides
4,1,1,67,45,41,Urea,Herbicides
2,3,0,48,49,17,NPK,Insecticides
3,1,1,21,69,31,Compost,Herbicides
0,3,2,42,94,24,Urea,Fungicides
0,3,0,65,96,38,Organic,Insecticides
2,2,0,66,45,93,Compost,Insecticides
4,1,1,17,76,70,Urea,Herbicides
4,0,1,30,53,62,NPK,Herbicides
4,3,1,65,20,76,Compost,Herbicides
4,1,0,99,6,63,Urea,Insecticides
3,1,2,91,37,90,NPK,Fungicides
3,0,1,83,71,59,Urea,Herbicides
4,3,0,98,92,32,Organic,Insecticides
1,2,1,22,91,94,Organic,Herbicides
4,3,1,51,64,57,Compost,Herbicides
4,2,0,66,3,84,Organic,Insecticides
2,0,2,84,38,75,NPK,Fungicides
0,2,0,35,92,98,Compost,Insecticides
0,4,1,48,48,95,Compost,Herbicides
4,0,1,43,17,85,Urea,Herbicides
3,4,0,84,16,88,NPK,Insecticides
2,3,2,51,82,81,Organic,Fungicides
3,1,1,25,66,83,Organic,Herbicides
0,3,1,92,78,16,Urea,Herbicides
4,0,2,32,19,41,Compost,Fungicides
0,4,0,94,78,25,Organic,Insecticides
1,4,2,24,62,10,Compost,Fungicides
0,1,1,63,15,50,Compost,Herbicides
0,4,1,21,60,65,Compost,Herbicides
4,0,0,11,9,6,NPK,Insecticides
3,3,0,39,16,50,Compost,Insecticides
4,2,2,66,5,65,Urea,Fungicides
4,1,1,89,69,81,Urea,Herbicides
